item,domain,raw_state,prob_ao,position
c12_01,nhg,State_1,0.14884723745146286,alpha
c12_01,nhg,State_2,0.3938172388471304,gamma
c12_01,nhg,State_3,0.3190428956372241,beta
c12_02,religious,State_1,0.01767925047286367,alpha
c12_02,religious,State_2,0.7784069782001322,gamma
c12_02,religious,State_3,0.14506588979747043,beta
c12_03,political,State_1,0.00333360201707869,alpha
c12_03,political,State_2,0.00639332056107641,gamma
c12_03,political,State_3,0.07956171356548504,beta
c12_04,union,State_1,0.02267416827823161,alpha
c12_04,union,State_2,0.01881892173111916,gamma
c12_04,union,State_3,0.3075137361699219,beta
c12_05,professional,State_1,0.00623181951790225,alpha
c12_05,professional,State_2,0.02056061520878026,gamma
c12_05,professional,State_3,0.1925022576190621,beta
c12_06,charity,State_1,0.02169168836328908,alpha
c12_06,charity,State_2,0.13300397633399194,gamma
c12_06,charity,State_3,0.2425288611019956,beta
c12_07,sport,State_1,0.04477919126125971,alpha
c12_07,sport,State_2,0.04541825866311974,gamma
c12_07,sport,State_3,0.2711193316651291,beta
c12_08,student,State_1,0.00896649342968126,alpha
c12_08,student,State_2,0.02387409883444512,gamma
c12_08,student,State_3,0.07667590701608337,beta
